Hashtag_name,Count
alcohol,15
COVID19ResearchVoices,15
MindfulnessMondays,15
HealthTechnologyAssessment,15
recruitment,15
FreeSchoolMeals,15
MedicinesBill,15
HTAi2021VirtualAM,15
covidvaccine,15
RemembranceDay,15
TeamWales,14
ThrowbackThursday,14
NoSmokingDay,14
NIHRmakingadifference,14
openaccess,14
GREATInspirations,14
MHRALabs20,14
CPC20,14
Stayathome,14
EisteddfodAmgen,14
PrisonersBill,14
genomic,14
firebreak,14
breastfeeding,14
FightBack,14
BlackLivesMatter,14
mythbuster,14
BeCancerAware,14
ChristmasTip,13
EasterAtHome,13
testing,13
Kent,13
COVID2019,13
COP26Ambition,13
Covid19ResearchVoices,13
LongCovid,13
GetYourFluJab,13
NIHRJL,13
inclusivity,13
PrivateIntlLawBill,13
CorporateInsBill,13
healthyrecipes,13
WomenInSTEM,13
shielding,13
YourCovidRecovery,13
MND,13
AHPsDay,13
HLConstitution,13
resultsday2020,13
MedSafetyWeek,13
KeepGoing,13
ClapForKeyWorkers,13
NIHRInclude,13
StDavidsDay,12
gmdp20,12
ContactTracingService,12
localgov,12
newbaby,12
B2022,12
gettingreadyforbaby,12
PalaceofWestminster,12
WomenInScienceDay,12
SettledStatus,12
SuperfastBroadband,12
ParlConstituenciesBill,12
OneNation,12
SaluteOurForces,12
gigabitbroadband,12
AWomanWhoInspiresMe,12
DayOfReflection,12
ClassroomHeroes,12
ValueofVaccines,12
CO,12
healthresearch,12
WindrushDay,12
BwytaAllanIHelpuAllan,12
HaveYouDownloaded,12
covidpuzzle,12
pregnant,12
Genomics,12
StayAtHomeSaveLives,12
Red4Research,12
publichealth,11
WorldAntimicrobialAwarenessWeek,11
collaborative,11
WorldTeachersDay,11
WAAW,11
covid19evidence,11
EidMubarak,11
innovative,11
NCW2021,11
C19carescot,11
UKTransition,11
arthritis,11
LongCOVID,11
COVIDVaccines,11
TelecommsBill,11
NGRL,11
BeAWorkHero,11
FisheriesBill,11
EmergencyCare,11
tackleabusetogether,11
NICEConf20,11
ArosGartref,11
HolirPrifWeinidog,11
HCAUK,11
Coronafeirws,11
StayLocal,11
injuries,11
carehomes,11
levelup,11
cybersecurity,11
GwiriwchNewidiwchEwch,11
DormantAssets,11
UniMentalHealthDay,11
PHE16Days,11
NHS16Days,11
wellbeing,11
BritishSignLanguage,11
Testing,11
