id,created_at,favorite_count,retweet_count,text
1392449480364945416,2021-05-12 12:00:01,1,0,"With the UK Government’s Young Innovators Award, Nina Birchard from Glasgow will be able to turn her Newborn Rescue Towel (@WrapDesigns_) from an idea into reality. This low cost emergency medical device will potentially save lives in the UK and globally. https://t.co/FaOlXtdBRA"
1392428978443624448,2021-05-12 10:38:33,65,28,"The UK Government is working hard to help 🏴󠁧󠁢󠁳󠁣󠁴󠁿 businesses through the pandemic. Check out our new UKG Scotland quick guide 👇 , which pulls together the practical steps and info you need to apply for business support: https://t.co/ZPMuVwwzC2 #DeliveringForScotland #PlanForJobs https://t.co/vFRgR1a5g8"
1392418127502262275,2021-05-12 09:55:26,6,4,"Join @JCPinCentreScot Friday from 10am - 2pm for their online #KickstartScotland Job Fair event. 

The Kickstart Scheme provides funding to employers to create jobs for 16 to 24 year olds on Universal Credit. https://t.co/sidpXS0dEK"
1392403989480755200,2021-05-12 08:59:15,39,28,Find out how the UK Government ensures every part of the UK shares secure and stable funding for public services. ⬇️ https://t.co/dKgk0igpmY
1392117293690376193,2021-05-11 14:00:01,3,1,"Our planet needs us to work together to tackle climate change 🌍. 

The UK Government will host @COP26 in Glasgow this year. This will be one of the largest events ever to take place in Scotland. 🏴󠁧󠁢󠁳󠁣#TogetherForOurPlanet ➡️https://t.co/bSg0C9Wjs5 https://t.co/MOeqNS3E6D"
1392087089555120128,2021-05-11 12:00:00,17,6,"The UK Government is supporting Scottish green innovations like Edinburgh-based @CoastrOfficial, who are developing technologies to make the car rental system greener and more sustainable, not only in the UK but around the world @biswroy https://t.co/Q0vQ3tBYrv"
1392071992917037056,2021-05-11 11:00:01,317,105,💪 We are stronger and safer when we work together. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland plays a vital role in the combined defence and security of the UK 🇬🇧.  #IntegratedReview https://t.co/xQjiE6JuRe https://t.co/ffEszQvbPj
1392056890272612353,2021-05-11 10:00:00,5,2,"Every vaccination gives us hope.

Join the millions already vaccinated to protect yourself and others. https://t.co/KxhaHDwNl3"
1392044991741145090,2021-05-11 09:12:43,25,7,"Sir David Attenborough has been named the COP26 People's Advocate. 

With 6 months to go until the UK Government summit in Glasgow, hear him speak about why collective action is so important ⬇️ 

#TogetherForOurPlanet https://t.co/S9NU85xVNr"
1391724704684134405,2021-05-10 12:00:01,1,1,"£7 million #UKGlobalScreenFund will help bring UK independent screen content to a 🌍 stage.  📽️🎬

@BFI | #HereForCulture | #PlanForJobs

https://t.co/wejd1joofa https://t.co/svDbXmXHxe"
1391709608608092161,2021-05-10 11:00:02,2,2,"Every vaccination gives us hope.

Join the millions already vaccinated to protect yourself and others. https://t.co/nnhRw4mbLr"
1391694507331125248,2021-05-10 10:00:01,96,45,"The UK Government is working hard to help 🏴󠁧󠁢󠁳󠁣󠁴󠁿 businesses through the pandemic. Check out our new UKG Scotland quick guide 👇, which pulls together the practical steps and info you need to apply for business support: https://t.co/ZPMuVwOatA #DeliveringForScotland #PlanForJobs https://t.co/06iOpNZO96"
1391679405479575554,2021-05-10 09:00:01,134,56,"We have more impact when we work together.  🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland combines its resources and influence with the rest of the UK 🇬🇧 to play a leading role in tackling global issues.🌍 #IntegratedReview
https://t.co/DBAjCItmvg https://t.co/n2duoZuJfP"
1389958065638699020,2021-05-05 15:00:01,2,4,"Inaccurate claims about the #COVIDVaccine can circulate quickly— stop the spread of #FalseInformation. Check before you share. NHS Scotland is the best source of info about the Covid-19 vaccine. 
@scotgovhealth

⬇️
https://t.co/lfljItUtVO https://t.co/qSCWZeNomU"
1383010889729724418,2021-04-16 10:54:25,4,1,"To mark the death of His Royal Highness The Duke of Edinburgh, there will be a national one minute silence at 15:00 on Saturday.

https://t.co/qsscUQ6wEp https://t.co/gnqgNV7Ve5"
1380148659631849477,2021-04-08 13:20:57,2,3,"With less than 100 days to go before the EU #SettlementScheme deadline, protect your family’s rights in the UK by applying to the EU #SettlementScheme by 30 June 2021. 

Apply now at: https://t.co/09AEvmCU1m https://t.co/i6CwIbgwbq"
1379763645794635778,2021-04-07 11:51:02,4,3,"Inaccurate claims about the #COVIDVaccine can circulate quickly— stop the spread of #FalseInformation. Check before you share. NHS Scotland is the best source of info about the Covid-19 vaccine. 
@scotgovhealth

⬇️
https://t.co/lfljIuc5ko https://t.co/kirQatzn67"
